season,dic-mar,dic-mar,dic-mar,dic-mar,jun-sep,jun-sep,jun-sep,mar-jun,mar-jun,mar-jun,mar-jun,sep-dic,sep-dic,sep-dic,sep-dic,total_anomalies
variable,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,precipitation_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,
city_name,,,,,,,,,,,,,,,,
El Djazaïr  (Algiers),4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,14.0
Fort-de-France,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0
Freetown,1.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0
Funafuti,6.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,24.0
Gaborone,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
George Town,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,16.0
Georgetown,2.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,29.0
Gibraltar,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0
Hagåtña,0.0,0.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,21.0
Hamilton,7.0,0.0,0.0,16.0,3.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,7.0,45.0
Harare,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Helsinki,3.0,19.0,7.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,5.0,1.0,1.0,49.0
